image_hash,image_path,label,filename,label_idx
df83740c1412a92693382ab73a73b901,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Hail damage/TN-521.jpg,Hail damage,TN-521.jpg,1
23cc9404b3be6cb4c2d23574fd520a8d,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Test Dataset/Hail damages/TN-876.jpg,Hail damage,TN-876.jpg,1
41d3bd602b009ca5a4f43cb337811656,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Cotton Bollworm Infestation/TN-5.jpg,Cotton Bollworm Infestation,TN-5.jpg,0
683b9ddbea3807097b94a762dbab8023,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Hail damage/TN-548.jpg,Hail damage,TN-548.jpg,1
9de90ab20dee02bc16851366ca56c153,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Test Dataset/Hail damages/TN-2719.jpg,Hail damage,TN-2719.jpg,1
8fef3e53a1db5c3f0fa88eb5898c1564,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Cotton Bollworm Infestation/TN-341.jpg,Cotton Bollworm Infestation,TN-341.jpg,0
bfe52cc45547cc5bbc6a5a679e39d9a5,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Strong-Light Burn/TN-256.jpg,Strong-Light Burn,TN-256.jpg,4
a15628a7eaef03645935a95574bd035d,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Cotton Bollworm Infestation/TN-606.jpg,Cotton Bollworm Infestation,TN-606.jpg,0
b3f2615dab1be8a7dd52f003dfb1e2db,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Test Dataset/Hail damages/TN-2865.jpg,Hail damage,TN-2865.jpg,1
d607160edd57739421b9e4e44622e61d,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Cotton Bollworm Infestation/TN-1059.jpg,Cotton Bollworm Infestation,TN-1059.jpg,0
28e14013c1ff2335abe781450ccdd02a,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Hail damage/TN-739.jpg,Hail damage,TN-739.jpg,1
6fdb93cdec7090b41c786ac875bd52fe,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Root Damage/TN-250.jpg,Root Damage,TN-250.jpg,3
11af4b726df6860e168954bee82a7f13,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Test Dataset/Strong-Light Burn/TN-71.jpg,Strong-Light Burn,TN-71.jpg,4
926338162b67e3dc5694e6357fddcaf8,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Mixed/TN-1814.jpg,Mixed,TN-1814.jpg,2
2f041595f423658bffda1695c1b84e5d,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Root Damage/TN-811.jpg,Root Damage,TN-811.jpg,3
290a427dbff407d4a614a564d0c5eb75,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Root Damage/TN-376.jpg,Root Damage,TN-376.jpg,3
a5dd44b4caf8df07a2c8625ec4ed0861,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Cotton Bollworm Infestation/TN-850.jpg,Cotton Bollworm Infestation,TN-850.jpg,0
83acb31e9f14aac704f4911d16477d7a,/home/sparsh/Naplam/Bangladesh-UAV-PlantDisease/Training Dataset/Strong-Light Burn/TN-551.jpg,Strong-Light Burn,TN-551.jpg,4
